Time(ms),Location(m),Speed(m/s)
5000,450,90
5100,459,90
5200,468,90
5300,477,90
5400,486,90
5500,495,90
5600,504,90
5700,513,90
5800,522,90
5900,531,90
6000,540,90
6100,549,90
6200,558,90
6300,567,90
6400,576,90
6500,585,90
6600,594,90
6700,603,90
6800,612,90
6900,621,90
7000,630,90
7100,639,90
7200,648,90
7300,657,90
7400,666,90
7500,675,90
7600,684,90
7700,693,90
7800,702,90
7900,711,90
8000,720,90
8100,729,90
8200,738,90
8300,747,90
8400,756,90
8500,765,90
8600,774,90
8700,783,90
8800,792,90
8900,801,90
9000,810,90
9100,819,90
9200,828,90
9300,837,90
9400,846,90
9500,855,90
9600,864,90
9700,873,90
9800,882,90
9900,891,90
10000,900,90
10100,909,90
10200,918,90
10300,927,90
10400,936,90
10500,945,90
10600,954,90
10700,963,90
10800,972,90
10900,981,90
11000,990,90
11100,999,90
11200,1008,90
11300,1017,90
11400,1026,90
11500,1035,90
11600,1044,90
11700,1053,90
11800,1062,90
11900,1071,90
12000,1080,90
12100,1089,90
12200,1098,90
12300,1107,90
12400,1116,90
12500,1125,90
12600,1134,90
12700,1143,90
12800,1152,90
12900,1161,90
13000,1170,90
13100,1179,90
13200,1188,90
13300,1197,90
13400,1206,90
13500,1215,90
13600,1224,90
13700,1233,90
13800,1242,90
13900,1251,90
14000,1260,90
14100,1269,90
14200,1278,90
14300,1287,90
14400,1296,90
14500,1305,90
14600,1314,90
14700,1323,90
14800,1332,90
14900,1341,90
15000,1350,90
15100,1359,90
15200,1368,90
15300,1377,90
15400,1386,90
15500,1395,90
15600,1404,90
15700,1413,90
15800,1422,90
15900,1431,90
16000,1440,90
16100,1449,90
16200,1458,90
16300,1467,90
16400,1476,90
16500,1485,90
16600,1494,90
16700,1503,90
16800,1512,90
16900,1521,90
17000,1530,90
17100,1539,90
17200,1548,90
17300,1557,90
17400,1566,90
17500,1575,90
17600,1584,90
17700,1593,90
17800,1602,90
17900,1611,90
18000,1620,90
18100,1629,90
18200,1638,90
18300,1647,90
18400,1656,90
18500,1665,90
18600,1674,90
18700,1683,90
18800,1692,90
18900,1701,90
19000,1710,90
19100,1719,90
19200,1728,90
19300,1737,90
19400,1746,90
19500,1755,90
19600,1764,90
19700,1773,90
19800,1782,90
19900,1791,90
20000,1800,90
20100,1809,90
20200,1818,90
20300,1827,90
20400,1836,90
20500,1845,90
20600,1854,90
20700,1863,90
20800,1872,90
20900,1881,90
21000,1890,90
21100,1899,90
21200,1908,90
21300,1917,90
21400,1926,90
21500,1935,90
21600,1944,90
21700,1953,90
21800,1962,90
21900,1971,90
22000,1980,90
22100,1989,90
22200,1998,90
22300,2007,90
22400,2016,90
22500,2025,90
22600,2034,90
22700,2043,90
22800,2052,90
22900,2061,90
23000,2070,90
23100,2079,90
23200,2088,90
23300,2097,90
23400,2106,90
23500,2115,90
23600,2124,90
23700,2133,90
23800,2142,90
23900,2151,90
24000,2160,90
24100,2169,90
24200,2178,90
24300,2187,90
24400,2196,90
24500,2205,90
24600,2214,90
24700,2223,90
24800,2232,90
24900,2241,90
25000,2250,90
25100,2259,90
25200,2268,90
25300,2277,90
25400,2286,90
25500,2295,90
25600,2304,90
25700,2313,90
25800,2322,90
25900,2331,90
26000,2340,90
26100,2349,90
26200,2358,90
26300,2367,90
26400,2376,90
26500,2385,90
26600,2394,90
26700,2403,90
26800,2412,90
26900,2421,90
27000,2430,90
27100,2439,90
27200,2448,90
27300,2457,90
27400,2466,90
27500,2475,90
27600,2484,90
27700,2493,90
27800,2502,90
27900,2511,90
28000,2520,90
28100,2529,90
28200,2538,90
28300,2547,90
28400,2556,90
28500,2565,90
28600,2574,90
28700,2583,90
28800,2592,90
28900,2601,90
29000,2610,90
29100,2619,90
29200,2628,90
29300,2637,90
29400,2646,90
29500,2655,90
29600,2664,90
29700,2673,90
29800,2682,90
29900,2691,90
30000,2700,90
30100,2709,90
30200,2718,90
30300,2727,90
30400,2736,90
30500,2745,90
30600,2754,90
30700,2763,90
30800,2772,90
30900,2781,90
31000,2790,90
31100,2799,90
31200,2808,90
31300,2817,90
31400,2826,90
31500,2835,90
31600,2844,90
31700,2853,90
31800,2862,90
31900,2871,90
32000,2880,90
32100,2889,90
32200,2898,90
32300,2907,90
32400,2916,90
32500,2925,90
