Time(ms),Location(m),Speed(m/s)
5000,10450,90
5100,10459,89.94
5200,10468,90
5300,10477,90
5400,10486,90
5500,10495,90
5600,10504,90
5700,10513,90
5800,10522,90
5900,10531,90
6000,10540,90
6100,10549,90
6200,10558,90
6300,10567,90
6400,10576,90
6500,10585,90
6600,10594,90
6700,10603,90
6800,10612,90
6900,10621,90
7000,10630,90
7100,10639,90
7200,10648,90
7300,10657,90
7400,10666,90
7500,10675,90
7600,10684,90
7700,10693,90
7800,10702,90
7900,10711,90
8000,10720,90
8100,10729,90
8200,10738,90
8300,10747,90
8400,10756,90
8500,10765,90
8600,10774,90
8700,10783,90
8800,10792,90
8900,10801,90
9000,10810,90
9100,10819,90
9200,10828,90
9300,10837,90
9400,10846,90
9500,10855,90
9600,10864,90
9700,10873,90
9800,10882,90
9900,10891,90
10000,10900,90
10100,10909,89.88
10200,10918,89.76
10300,10926.9,89.64
10400,10935.9,89.52
10500,10944.8,89.4
10600,10953.8,89.28
10700,10962.7,89.16
10800,10971.6,89.04
10900,10980.5,88.92
11000,10989.4,88.8
11100,10998.3,88.68
11200,11007.1,88.56
11300,11016,88.44
11400,11024.8,88.32
11500,11033.6,88.2
11600,11042.5,88.08
11700,11051.3,87.96
11800,11060.1,87.84
11900,11068.8,87.72
12000,11077.6,87.6
12100,11086.3,87.48
12200,11095.1,87.36
12300,11103.8,87.24
12400,11112.5,87.12
12500,11121.2,87
12600,11129.9,86.88
12700,11138.6,86.76
12800,11147.3,86.64
12900,11155.9,86.52
13000,11164.6,86.4
13100,11173.2,86.28
13200,11181.9,86.16
13300,11190.5,86.04
13400,11199.1,85.92
13500,11207.6,85.8
13600,11216.2,85.68
13700,11224.8,85.56
13800,11233.3,85.44
13900,11241.9,85.32
14000,11250.4,85.2
14100,11258.9,85.08
14200,11267.4,84.96
14300,11275.9,84.84
14400,11284.4,84.72
14500,11292.8,84.6
14600,11301.3,84.48
14700,11309.7,84.36
14800,11318.2,84.24
14900,11326.6,84.12
15000,11335,84
15100,11343.4,83.88
15200,11351.8,83.76
15300,11360.1,83.64
15400,11368.5,83.52
15500,11376.8,83.4
15600,11385.2,83.28
15700,11393.5,83.16
15800,11401.8,83.04
15900,11410.1,82.92
16000,11418.4,82.8
