alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,3,0.985549,0.975100,247.67,290.17
0.001,5,0.994235,0.991000,69.56,71.57
0.001,10,0.996351,0.995500,2.55,1.47
0.001,20,0.994669,0.994200,1.08,0.00
0.001,50,0.988758,0.988300,1.08,0.00
0.01,3,0.999800,0.999800,1.37,0.03
0.01,5,0.998800,0.998800,1.34,0.00
0.01,10,0.997600,0.997600,1.33,0.00
0.01,20,0.995700,0.995700,1.32,0.00
0.01,50,0.989400,0.989400,1.30,0.00
0.1,3,0.999482,0.999300,7.56,6.42
0.1,5,0.999400,0.999400,1.34,0.01
0.1,10,0.998300,0.998300,1.33,0.00
0.1,20,0.996200,0.996200,1.32,0.00
0.1,50,0.991100,0.991100,1.32,0.00
0.2,3,0.999126,0.998500,53.81,55.99
0.2,5,0.998700,0.998700,1.60,0.27
0.2,10,0.998500,0.998500,1.33,0.00
0.2,20,0.996100,0.996100,1.32,0.00
0.2,50,0.989800,0.989800,1.31,0.00
0.5,3,0.990621,0.980500,610.66,742.10
0.5,5,0.995077,0.990900,59.17,62.57
0.5,10,0.998132,0.998100,1.44,0.11
0.5,20,0.995256,0.995200,1.32,0.00
0.5,50,0.989400,0.989400,1.31,0.00
1.0,3,0.968053,0.938100,1718.88,2384.59
1.0,5,0.912445,0.834400,998.31,1236.74
1.0,10,0.883098,0.778000,351.16,417.03
1.0,20,0.915017,0.837800,108.81,124.83
1.0,50,0.949315,0.907600,20.92,22.60
