alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,1,0.356889,0.074700,3697.11,5544.66
0.001,2,0.999500,0.999500,11.73,10.40
0.001,3,0.999100,0.999100,1.32,0.00
0.001,5,0.998800,0.998800,1.32,0.00
0.001,10,0.997700,0.997700,1.34,0.00
0.001,20,0.996500,0.996500,1.32,0.00
0.001,50,0.988934,0.988900,1.31,0.00
0.01,1,0.351423,0.070400,9059.88,12700.43
0.01,2,0.999043,0.998900,13.30,11.98
0.01,3,0.999400,0.999400,1.33,0.01
0.01,5,0.998800,0.998800,1.33,0.00
0.01,10,0.996900,0.996900,1.32,0.00
0.01,20,0.995800,0.995800,1.32,0.00
0.01,50,0.986700,0.986700,1.30,0.00
0.1,1,0.306290,0.042200,8173.55,11537.33
0.1,2,0.993854,0.988000,180.20,182.46
0.1,3,0.997843,0.996400,10.27,10.26
0.1,5,0.999600,0.999600,1.35,0.03
0.1,10,0.997200,0.997200,1.33,0.00
0.1,20,0.996100,0.996100,1.32,0.00
0.1,50,0.989300,0.989300,1.30,0.00
0.2,1,0.266834,0.023100,7377.02,10464.52
0.2,2,0.976743,0.951900,628.86,652.31
0.2,3,0.987765,0.977000,103.57,114.19
0.2,5,0.997871,0.997700,1.67,0.38
0.2,10,0.996300,0.996300,1.34,0.00
0.2,20,0.995300,0.995300,1.32,0.00
0.2,50,0.989300,0.989300,1.31,0.00
0.5,1,0.218382,0.012200,6561.54,9368.76
0.5,2,0.881792,0.772900,2720.86,2935.92
0.5,3,0.822227,0.672800,3182.22,3359.16
0.5,5,0.980959,0.963300,92.95,103.05
0.5,10,0.997150,0.997100,1.48,0.16
0.5,20,0.996100,0.996100,1.32,0.00
0.5,50,0.987100,0.987100,1.31,0.00
1.0,1,0.190899,0.004700,6176.56,8843.36
1.0,2,0.721564,0.499000,5677.17,6209.60
1.0,3,0.391547,0.100900,9812.68,10246.54
1.0,5,0.539034,0.246900,2228.80,2448.34
1.0,10,0.635154,0.373700,584.51,661.83
1.0,20,0.878326,0.767700,125.72,141.31
1.0,50,0.933694,0.880100,22.32,24.03
