alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,3,0.966496,0.953100,56.35,77.17
0.001,5,0.959357,0.946400,25.35,29.11
0.001,10,0.912893,0.899400,8.89,8.43
0.001,20,0.928171,0.916100,1.77,0.57
0.001,50,0.876331,0.864600,1.12,0.00
0.01,3,0.966894,0.939000,64.54,64.69
0.01,5,0.978933,0.966000,1.39,0.08
0.01,10,0.970658,0.958000,1.29,0.00
0.01,20,0.949846,0.938200,1.26,0.00
0.01,50,0.894355,0.883600,1.15,0.00
0.1,3,0.122211,0.000100,2142.02,2989.13
0.1,5,0.048673,0.000000,528.93,661.17
0.1,10,0.036119,0.000000,148.05,177.25
0.1,20,0.049768,0.000000,63.85,74.80
0.1,50,0.076275,0.000000,19.62,23.19
0.5,3,0.051536,0.000000,1683.35,2569.98
0.5,5,0.015452,0.000000,451.65,628.57
0.5,10,0.006262,0.000000,128.42,169.43
0.5,20,0.004495,0.000000,52.59,68.53
0.5,50,0.003331,0.000000,15.92,21.39
1.0,3,0.050962,0.000000,1683.74,2575.57
1.0,5,0.015159,0.000000,457.24,637.78
1.0,10,0.005974,0.000000,135.87,178.23
1.0,20,0.004082,0.000000,52.59,68.87
1.0,50,0.002956,0.000000,15.57,21.05
