alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,1,0.003738,0.000000,383.55,574.69
0.001,2,0.891033,0.790400,942.26,941.20
0.001,3,0.976739,0.963600,1.41,0.11
0.001,5,0.976236,0.964200,1.30,0.00
0.001,10,0.961851,0.949100,1.28,0.00
0.001,20,0.940697,0.928800,1.25,0.00
0.001,50,0.888711,0.878900,1.14,0.00
0.01,1,0.003163,0.000000,775.16,1097.95
0.01,2,0.519443,0.228600,1363.06,1382.54
0.01,3,0.883673,0.787400,73.36,79.34
0.01,5,0.974159,0.961000,1.41,0.10
0.01,10,0.960614,0.947800,1.27,0.00
0.01,20,0.948393,0.936100,1.25,0.00
0.01,50,0.886820,0.875300,1.14,0.00
0.1,1,0.001980,0.000000,582.94,838.83
0.1,2,0.012922,0.000000,995.15,1094.17
0.1,3,0.004274,0.000000,336.18,383.30
0.1,5,0.007146,0.000000,186.53,216.19
0.1,10,0.010772,0.000000,76.18,90.33
0.1,20,0.032117,0.000000,48.72,55.99
0.1,50,0.065436,0.000000,17.91,21.11
0.2,1,0.001849,0.000000,565.91,815.19
0.2,2,0.008421,0.000000,1085.75,1174.29
0.2,3,0.002235,0.000000,314.53,360.56
0.2,5,0.002516,0.000000,173.01,203.22
0.2,10,0.002350,0.000000,71.21,87.13
0.2,20,0.003857,0.000000,43.77,53.26
0.2,50,0.004186,0.000000,15.34,19.93
0.5,1,0.001870,0.000000,576.18,830.10
0.5,2,0.007873,0.000000,1159.18,1241.09
0.5,3,0.001968,0.000000,318.77,365.59
0.5,5,0.001988,0.000000,186.38,218.00
0.5,10,0.001668,0.000000,73.36,90.15
0.5,20,0.002610,0.000000,44.89,54.97
0.5,50,0.002774,0.000000,14.88,19.72
1.0,1,0.001859,0.000000,573.87,826.71
1.0,2,0.007865,0.000000,1159.06,1240.94
1.0,3,0.001940,0.000000,314.73,361.01
1.0,5,0.001978,0.000000,194.39,226.26
1.0,10,0.001531,0.000000,74.38,90.81
1.0,20,0.002357,0.000000,45.00,55.19
1.0,50,0.002470,0.000000,14.64,19.50
