alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,5,0.985918,0.985900,3.89,0.68
0.001,10,0.953218,0.953000,2.83,0.01
0.001,20,0.937723,0.937400,2.79,0.00
0.001,30,0.935468,0.935200,2.80,0.00
0.001,50,0.936402,0.936100,2.77,0.00
0.01,5,0.999100,0.999100,3.03,0.02
0.01,10,0.996700,0.996700,2.96,0.00
0.01,20,0.994200,0.994200,2.98,0.00
0.01,30,0.992200,0.992200,2.96,0.00
0.01,50,0.985300,0.985300,2.94,0.00
0.1,5,0.998200,0.998200,3.21,0.13
0.1,10,0.996700,0.996700,3.00,0.00
0.1,20,0.995200,0.995200,2.98,0.00
0.1,30,0.991300,0.991300,2.98,0.00
0.1,50,0.987300,0.987300,2.95,0.00
0.5,5,0.999500,0.999500,1137.46,1207.72
0.5,10,0.997500,0.997500,6.11,2.16
0.5,20,0.993700,0.993700,2.98,0.00
0.5,30,0.988800,0.988800,2.96,0.00
0.5,50,0.983700,0.983700,2.94,0.00
1.0,5,0.998600,0.998600,20213.90,28324.99
1.0,10,0.996798,0.996700,9128.69,11193.32
1.0,20,0.993700,0.993700,3019.55,3573.83
1.0,30,0.991801,0.991800,1516.15,1770.69
1.0,50,0.986383,0.986300,585.61,675.22
