alpha,beta,avg_survive_time,survive_rate,flag_tp,flag_fp
0.001,1,0.991299,0.984400,179652.54,268582.05
0.001,2,0.998700,0.998700,1590.06,1584.00
0.001,5,0.998300,0.998300,2.99,0.00
0.001,10,0.995500,0.995500,2.98,0.00
0.001,20,0.993500,0.993500,2.97,0.00
0.001,30,0.990700,0.990700,2.96,0.00
0.001,50,0.985200,0.985200,2.95,0.00
0.01,1,0.993319,0.987600,180226.08,269475.07
0.01,2,0.999400,0.999400,1592.17,1586.18
0.01,5,0.998000,0.998000,2.99,0.00
0.01,10,0.996800,0.996800,2.99,0.00
0.01,20,0.993900,0.993900,2.97,0.00
0.01,30,0.991700,0.991700,2.96,0.00
0.01,50,0.984300,0.984300,2.93,0.00
0.1,1,0.302164,0.042500,751353.98,1127028.68
0.1,2,0.998300,0.998300,4756.86,4869.74
0.1,5,0.999000,0.999000,3.31,0.19
0.1,10,0.996000,0.996000,2.97,0.00
0.1,20,0.993500,0.993500,3.00,0.00
0.1,30,0.989700,0.989700,2.96,0.00
0.1,50,0.984900,0.984900,2.94,0.00
0.2,1,0.283910,0.040000,729709.33,1094561.83
0.2,2,0.998600,0.998600,17117.26,18426.18
0.2,5,0.999200,0.999200,12.40,7.85
0.2,10,0.996600,0.996600,3.00,0.01
0.2,20,0.994400,0.994400,2.97,0.00
0.2,30,0.990800,0.990800,2.96,0.00
0.2,50,0.983900,0.983900,2.92,0.00
0.5,1,0.252248,0.025700,683523.87,1025284.01
0.5,2,0.998675,0.998600,131438.53,153647.98
0.5,5,0.998100,0.998100,1493.71,1569.74
0.5,10,0.996000,0.996000,7.74,4.23
0.5,20,0.994400,0.994400,2.95,0.00
0.5,30,0.988000,0.988000,2.95,0.00
0.5,50,0.986500,0.986500,2.95,0.00
1.0,1,0.227070,0.019900,634114.34,951169.97
1.0,2,0.998534,0.998500,361295.72,439317.87
1.0,5,0.998397,0.998300,66293.25,79052.87
1.0,10,0.996541,0.996500,18877.23,22836.94
1.0,20,0.992401,0.992400,4132.41,4786.04
1.0,30,0.990401,0.990400,1989.49,2350.81
1.0,50,0.985409,0.985400,658.50,754.86
